country_gwid,country_iso3c,country_name,rows,cols,cells
700,AFG,Afghanistan,218,218,75210
540,AGO,Angola,326,326,96170
339,ALB,Albania,72,72,3024
160,ARG,Argentina,798,798,381444
371,ARM,Armenia,58,58,4350
900,AUS,Australia,1073,1073,1185665
305,AUT,Austria,62,62,11346
373,AZE,Azerbaijan,83,83,11205
516,BDI,Burundi,51,51,2193
211,BEL,Belgium,48,48,4416
434,BEN,Benin,148,148,10952
771,BGD,Bangladesh,139,139,15290
355,BGR,Bulgaria,72,72,10800
692,BHR,Bahrain,11,11,44
346,BIH,Bosnia and Herzegovina,66,66,6072
370,BLR,Belarus,117,117,26793
145,BOL,"Bolivia, Plurinational State of",316,316,91956
140,BRA,Brazil,936,936,880776
760,BTN,Bhutan,38,38,3040
571,BWA,Botswana,218,218,49268
482,CAF,Central African Republic,210,210,65520
20,CAN,Canada,995,995,2109400
225,CHE,Switzerland,47,47,5076
155,CHL,Chile,921,921,950472
710,CHN,China,848,848,1244016
437,CIV,Cote d'Ivoire,153,153,22338
471,CMR,Cameroon,274,274,50142
490,COD,"Congo, the Democratic Republic of the",450,450,206100
484,COG,Congo,208,208,37440
100,COL,Colombia,400,400,116800
94,CRI,Costa Rica,75,75,6000
315,CSK,Czechoslovakia,NA,NA,NA
40,CUB,Cuba,80,80,20640
352,CYP,Cyprus,14,14,588
522,DJI,Djibouti,42,42,1680
615,DZA,Algeria,434,434,214830
130,ECU,Ecuador,155,155,61070
651,EGY,Egypt,232,232,67744
531,ERI,Eritrea,135,135,21735
230,ESP,Spain,386,386,208440
366,EST,Estonia,50,50,7550
530,ETH,Ethiopia,273,273,98007
375,FIN,Finland,246,246,64452
950,FJI,Fiji,222,222,1918080
220,FRA,France,1739,1739,4909197
481,GAB,Gabon,149,149,20711
200,GBR,United Kingdom,259,259,61383
372,GEO,Georgia,60,60,9660
452,GHA,Ghana,154,154,16324
438,GIN,Guinea,131,131,23187
420,GMB,Gambia,17,17,1224
404,GNB,Guinea-Bissau,41,41,2993
350,GRC,Greece,164,164,33784
90,GTM,Guatemala,98,98,9506
110,GUY,Guyana,176,176,20592
91,HND,Honduras,84,84,12516
344,HRV,Croatia,99,99,14058
310,HUN,Hungary,67,67,10921
850,IDN,Indonesia,404,404,443592
750,IND,India,690,690,483000
630,IRN,"Iran, Islamic Republic of",352,352,162624
645,IRQ,Iraq,199,199,46566
666,ISR,Israel,95,95,3800
325,ITA,Italy,249,249,70965
663,JOR,Jordan,100,100,10400
740,JPN,Japan,510,510,271320
705,KAZ,Kazakhstan,354,354,345858
501,KEN,Kenya,245,245,46795
703,KGZ,Kyrgyzstan,97,97,25705
811,KHM,Cambodia,103,103,13081
690,KWT,Kuwait,37,37,1702
812,LAO,Lao People's Democratic Republic,206,206,37286
660,LBN,Lebanon,38,38,1330
450,LBR,Liberia,101,101,9898
620,LBY,Libya,328,328,124968
780,LKA,Sri Lanka,93,93,4836
368,LTU,Lithuania,61,61,8601
367,LVA,Latvia,58,58,10034
600,MAR,Morocco,348,348,132936
359,MDA,"Moldova, Republic of",72,72,6048
580,MDG,Madagascar,324,324,56376
70,MEX,Mexico,436,436,331796
343,MKD,"Macedonia, the former Yugoslav Republic of",37,37,2257
432,MLI,Mali,357,357,141729
775,MMR,Myanmar,447,447,96552
341,MNE,Montenegro,40,40,1840
712,MNG,Mongolia,253,253,195316
541,MOZ,Mozambique,394,394,100470
435,MRT,Mauritania,301,301,88494
590,MUS,Mauritius,12,12,132
553,MWI,Malawi,186,186,14322
820,MYS,Malaysia,155,155,72850
565,NAM,Namibia,288,288,93600
436,NER,Niger,283,283,107257
475,NGA,Nigeria,230,230,66010
93,NIC,Nicaragua,102,102,11016
790,NPL,Nepal,96,96,18720
920,NZL,New Zealand,1057,1057,9015153
770,PAK,Pakistan,319,319,124091
95,PAN,Panama,57,57,7980
135,PER,Peru,439,439,133456
840,PHL,Philippines,379,379,87549
290,POL,Poland,140,140,33600
150,PRY,Paraguay,198,198,39996
360,ROU,Romania,110,110,24970
365,RUS,Russian Federation,976,976,8432640
517,RWA,Rwanda,41,41,1968
670,SAU,Saudi Arabia,378,378,190512
625,SDN,Sudan,325,325,130975
433,SEN,Senegal,104,104,15392
451,SLE,Sierra Leone,74,74,5328
92,SLV,El Salvador,30,30,1740
626,SSD,South Sudan,209,209,55594
317,SVK,Slovakia,44,44,5984
349,SVN,Slovenia,35,35,2625
652,SYR,Syrian Arab Republic,119,119,18921
483,TCD,Chad,384,384,97152
461,TGO,Togo,121,121,5445
800,THA,Thailand,355,355,70290
702,TJK,Tajikistan,105,105,19635
701,TKM,Turkmenistan,183,183,62037
52,TTO,Trinidad and Tobago,30,30,990
640,TUR,Turkey,150,150,69000
713,TWN,"Taiwan, Province of China",81,81,7047
510,TZA,"Tanzania, United Republic of",257,257,68619
500,UGA,Uganda,136,136,17680
369,UKR,Ukraine,191,191,82512
165,URY,Uruguay,116,116,14848
2,USA,United States,1259,1259,10817328
704,UZB,Uzbekistan,201,201,82812
101,VEN,"Venezuela, Bolivarian Republic of",275,275,89375
816,VNM,Viet Nam,354,354,62304
345,YUG,Yugoslavia,NA,NA,NA
560,ZAF,South Africa,595,595,305830
551,ZMB,Zambia,236,236,66316
552,ZWE,Zimbabwe,163,163,30481
340,NA,NA,NA,NA,NA
347,NA,Kosovo,NA,NA,NA
678,NA,Yemen Arab Republic,NA,NA,NA
817,NA,Republic of Vietnam,NA,NA,NA
